               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087415,            0.028757,            0.032815,           0.0031063,             0.80834,            0.021589,           0.0067076,               0.046,            0.011181,            0.020057,            0.070545,           0.0032727,           0.0032727
                   1,            0.061078,            0.025348,            0.025362,             0.13117,             0.25655,             0.10205,             0.04653,            0.038554,              0.0088,            0.017217,            0.040415,           0.0064753,           0.0064753
                   2,            0.058929,            0.021944,            0.020996,             0.16868,             0.30588,             0.11671,            0.055521,            0.041023,           0.0086726,            0.016377,            0.010152,           0.0095458,           0.0095458
                   3,            0.054803,            0.021606,            0.015762,            0.093354,             0.16428,            0.055973,            0.022773,            0.050522,           0.0074872,            0.015257,            0.009406,            0.009406,            0.009406
                   4,            0.051088,             0.02211,            0.014845,             0.30048,             0.43231,             0.21681,            0.070507,            0.037114,            0.010837,            0.017244,            0.009406,            0.009406,            0.009406
                   5,            0.052478,            0.020675,            0.013655,             0.30795,             0.33252,             0.28518,             0.11657,            0.035784,           0.0077112,           0.0096746,            0.009208,            0.009208,            0.009208
                   6,            0.049776,            0.021045,            0.012266,             0.43145,             0.52989,             0.50655,             0.19297,            0.031736,           0.0071359,           0.0056884,             0.00901,             0.00901,             0.00901
                   7,            0.050908,            0.019567,           0.0093469,             0.52943,             0.52797,             0.52369,             0.19916,            0.030904,           0.0076454,           0.0055055,            0.008812,            0.008812,            0.008812
                   8,            0.044993,            0.018719,           0.0082518,             0.57725,             0.60638,             0.58472,             0.29123,            0.031703,           0.0080354,           0.0083523,            0.008614,            0.008614,            0.008614
                   9,            0.045106,            0.019515,           0.0094759,             0.68386,             0.64491,             0.67197,             0.39536,            0.029943,            0.006973,           0.0043068,            0.008416,            0.008416,            0.008416
                  10,            0.044373,            0.019571,             0.01008,             0.58248,             0.54251,             0.43776,             0.17724,            0.030798,           0.0077476,            0.010899,            0.008218,            0.008218,            0.008218
                  11,            0.042053,            0.018894,           0.0087797,             0.67541,             0.69123,             0.72636,             0.42082,             0.02824,           0.0065087,           0.0031851,             0.00802,             0.00802,             0.00802
                  12,            0.037547,            0.018852,           0.0080385,             0.64103,             0.68851,             0.72759,             0.36912,            0.027455,           0.0066465,           0.0066686,            0.007822,            0.007822,            0.007822
                  13,            0.040942,            0.018851,           0.0068831,             0.75598,             0.59322,             0.69045,             0.29145,            0.029504,           0.0066092,           0.0077557,            0.007624,            0.007624,            0.007624
                  14,            0.041683,            0.018822,            0.011624,             0.77623,             0.63636,              0.7552,             0.33295,            0.026529,           0.0061827,           0.0032912,            0.007426,            0.007426,            0.007426
                  15,            0.040987,            0.018232,           0.0068964,             0.71523,             0.69096,             0.71563,             0.39118,            0.026782,           0.0070307,           0.0040893,            0.007228,            0.007228,            0.007228
                  16,            0.041677,            0.018128,           0.0062699,             0.79346,             0.74512,             0.78453,             0.45185,             0.02673,           0.0062771,           0.0028684,             0.00703,             0.00703,             0.00703
                  17,            0.039019,            0.017467,           0.0060749,             0.75904,              0.7143,             0.79254,             0.44752,            0.027151,           0.0061865,           0.0026427,            0.006832,            0.006832,            0.006832
                  18,            0.038375,            0.017558,           0.0069172,             0.80602,             0.78611,              0.8369,             0.47472,            0.025248,           0.0059077,           0.0019582,            0.006634,            0.006634,            0.006634
                  19,             0.03732,            0.017414,           0.0060426,             0.82431,             0.78624,             0.83145,             0.49134,            0.026047,           0.0060775,           0.0026016,            0.006436,            0.006436,            0.006436
                  20,            0.037502,            0.016867,           0.0054811,             0.85028,             0.77553,             0.85663,             0.53675,            0.025416,           0.0057181,           0.0022538,            0.006238,            0.006238,            0.006238
                  21,            0.036428,            0.016866,           0.0059387,             0.82615,             0.79415,             0.85374,             0.47389,            0.024934,           0.0057189,           0.0018637,             0.00604,             0.00604,             0.00604
                  22,             0.03656,             0.01655,           0.0054218,             0.85815,             0.82987,             0.89012,             0.56946,            0.024211,           0.0055597,           0.0015509,            0.005842,            0.005842,            0.005842
                  23,            0.037385,            0.017038,           0.0063093,             0.85386,             0.82684,             0.86521,             0.53766,            0.024719,           0.0056056,           0.0014851,            0.005644,            0.005644,            0.005644
                  24,            0.036318,            0.016849,            0.005015,              0.8642,              0.8148,             0.87999,             0.56238,            0.024638,           0.0054265,           0.0015599,            0.005446,            0.005446,            0.005446
                  25,            0.037405,            0.015973,            0.004002,             0.86684,             0.85156,             0.90553,             0.58304,            0.023315,           0.0055209,             0.00148,            0.005248,            0.005248,            0.005248
                  26,            0.039759,            0.016865,           0.0045685,             0.87171,             0.87182,             0.92033,             0.60975,             0.02303,           0.0052234,           0.0011056,             0.00505,             0.00505,             0.00505
                  27,            0.036203,            0.016644,           0.0050548,             0.89134,             0.84327,             0.89273,              0.5718,            0.023437,           0.0054335,           0.0013349,            0.004852,            0.004852,            0.004852
                  28,            0.034528,            0.016508,           0.0040031,             0.90022,             0.86944,             0.90891,             0.59784,            0.023482,           0.0052115,           0.0011481,            0.004654,            0.004654,            0.004654
                  29,            0.032471,            0.015915,           0.0037515,             0.86092,             0.83935,             0.87765,             0.55084,            0.023508,           0.0052292,           0.0013655,            0.004456,            0.004456,            0.004456
                  30,            0.036468,            0.016327,           0.0046808,             0.78281,             0.74096,             0.78551,             0.46001,            0.024222,           0.0061946,           0.0024935,            0.004258,            0.004258,            0.004258
                  31,            0.036725,            0.016874,           0.0047715,             0.87777,             0.87592,             0.91487,              0.6012,            0.022165,            0.005008,           0.0010337,             0.00406,             0.00406,             0.00406
                  32,            0.035733,            0.015748,           0.0039669,             0.87396,             0.88315,             0.92639,             0.59315,            0.022705,           0.0050232,           0.0010477,            0.003862,            0.003862,            0.003862
                  33,            0.034481,            0.016159,           0.0039697,             0.89095,             0.89469,             0.94091,             0.61241,            0.022538,           0.0049325,          0.00084789,            0.003664,            0.003664,            0.003664
                  34,            0.034567,            0.015585,           0.0046528,             0.89693,             0.85995,              0.9138,             0.57651,            0.022827,           0.0054538,           0.0012246,            0.003466,            0.003466,            0.003466
                  35,            0.032556,            0.015522,           0.0035144,             0.89163,             0.89497,             0.92873,             0.63206,            0.021248,           0.0049683,          0.00079667,            0.003268,            0.003268,            0.003268
                  36,            0.032814,            0.015231,           0.0033875,             0.91174,             0.88547,             0.93355,             0.65234,            0.021231,           0.0050605,          0.00077477,             0.00307,             0.00307,             0.00307
                  37,            0.034763,            0.015476,           0.0032357,             0.89242,             0.88902,             0.92056,              0.6436,            0.021956,           0.0049166,          0.00084212,            0.002872,            0.002872,            0.002872
                  38,            0.030672,            0.015345,           0.0039331,             0.90653,             0.90359,             0.94078,             0.60635,            0.021492,           0.0048363,          0.00069964,            0.002674,            0.002674,            0.002674
                  39,             0.03137,            0.015606,           0.0029765,             0.91616,             0.88613,             0.94761,             0.62681,            0.021426,           0.0048449,          0.00074602,            0.002476,            0.002476,            0.002476
                  40,            0.034086,            0.015454,           0.0029212,             0.91906,             0.90082,             0.93703,             0.63373,            0.020825,           0.0049082,          0.00079473,            0.002278,            0.002278,            0.002278
                  41,            0.030885,            0.014668,           0.0027837,             0.92336,             0.91036,             0.94973,             0.65875,            0.020402,           0.0048145,          0.00054492,             0.00208,             0.00208,             0.00208
                  42,            0.029712,            0.014832,           0.0028613,             0.91704,             0.90738,             0.95245,             0.68367,            0.020632,           0.0047011,          0.00046155,            0.001882,            0.001882,            0.001882
                  43,             0.03198,            0.015012,           0.0031861,             0.92759,             0.88761,             0.94306,             0.65011,            0.020026,           0.0047359,          0.00069479,            0.001684,            0.001684,            0.001684
                  44,            0.029765,            0.014466,           0.0031515,             0.94418,             0.90611,             0.95983,             0.65663,            0.019847,           0.0047785,          0.00039434,            0.001486,            0.001486,            0.001486
                  45,            0.029415,            0.014598,           0.0030946,             0.92942,             0.90628,             0.95585,             0.67945,            0.019711,           0.0048133,          0.00058069,            0.001288,            0.001288,            0.001288
                  46,            0.031708,            0.014629,           0.0019023,             0.92394,             0.91344,             0.95438,              0.6853,            0.019523,           0.0047324,          0.00048536,             0.00109,             0.00109,             0.00109
                  47,            0.030636,            0.014238,           0.0024411,              0.9282,             0.92958,             0.95667,             0.69757,            0.019015,           0.0045627,          0.00037981,            0.000892,            0.000892,            0.000892
                  48,            0.028979,            0.014466,           0.0023477,             0.92667,             0.92343,             0.95802,              0.6884,            0.018899,           0.0046094,          0.00035999,            0.000694,            0.000694,            0.000694
                  49,            0.029194,            0.013952,           0.0029534,             0.92865,             0.91794,             0.96203,             0.68825,            0.018954,           0.0046619,          0.00035415,            0.000496,            0.000496,            0.000496
